GEOID,NAME,NAMEmsa,tpopr,pwhite,pblack,pasian,phisp,povr,ttrips,PM25,mpm,npm
36081155102,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",8787,0.45533174,0.095595766,0.281438489,0.149766701,0.078020566,104626,7.915640437,8.006658422,7.906761585
36081157902,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4210,0.278384798,0.017577197,0.547980998,0.091686461,0.039759036,58814,7.892242623,8.049577501,7.893921311
36005025000,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2582,0.504260263,0.016653757,0.140588691,0.327652982,0.134160527,39673,8.280256557,8.352221951,8.279780757
36005026602,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5207,0.361628577,0.090071058,0.021125408,0.508738237,0.185135395,72630,8.233612568,8.342565903,8.242854699
36005029301,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1842,0.723127036,0.052117264,0.015200869,0.161780673,0.023636364,22374,8.432368033,8.438507975,8.438858852
36005031900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",636,0.525157233,0.150943396,0.066037736,0.242138365,0.714285714,1619,8.409903279,8.404376707,8.403888907
36081162100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6458,0.179777021,0.062403221,0.398730257,0.28073707,0.134502017,116983,7.904136066,8.043147402,7.905759775
36085003300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3674,0.440391943,0.296679369,0.08328797,0.169025585,0.074305934,63610,8.810868579,8.729997594,8.822353591
36085007700,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1356,0.109882006,0.378318584,0.049410029,0.438053097,0.227306273,34082,8.845886612,8.749168949,8.853415902
36061000600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",9731,0.047477135,0.07327099,0.566128867,0.299763642,0.395280852,98399,8.750835519,8.638864128,8.754047268
36061001600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7133,0.190522922,0.009813543,0.74849292,0.043459975,0.225720309,77173,8.764331967,8.649249485,8.765756401
36061003100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2659,0.556976307,0.084242196,0.250846183,0.075592328,0.106245976,203193,8.795436885,8.528505098,8.79072237
36061004700,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2236,0.750447227,0.005366726,0.155635063,0.063059034,0.086191336,31945,8.781457377,8.639466268,8.786540383
36081095400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5793,0.097531504,0.602623856,0.043500777,0.228896945,0.245997089,85300,7.818915301,8.178083317,7.846778005
36081099704,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7367,0.606624135,0.011402199,0.247319126,0.120537532,0.101126646,110341,8.053616393,8.110621899,8.058109399
